actual,test
5923218.0,12462974.285485186
2367162.0,2123907.1636303915
426258.0,992270.7174109243
24518806.0,7740770.306447729
1700608.0,1612797.6811929555
7839552.0,5893800.697148054
3439098.75,3980618.4420488114
5693980.0,7471621.775819421
86069.0,114092.47010394119
4300015.0,4466370.47245653
76870.0,8116682.720287314
15443022.0,7754243.933492406
5406660.0,7530825.862731955
7719468.0,8057414.957430432
5109392.0,4301265.974866098
7918804.0,6436203.558625006
263458.0,337363.29139850184
2394353.0,1146406.8565513247
44257.0,37657.472008845674
3600744.0,2349627.5232670824
2975706.0,2773683.8225114224
6837054.0,6796866.728423371
34155262.0,12723161.945517033
2026458.0,3571827.2437129626
3228964.0,4003405.8295800188
15004710.0,13536951.823418897
12348.0,121765.59169357571
26090652.0,26090652.0
5006918.0,4774713.275630537
336108.0,3606872.3399806167
1972404.0,2974624.5522050443
1789834.0,1833936.2035380192
1624940.0,1430138.3888723713
8327340.0,4979483.057495103
14659043.0,6232334.095581701
62370.0,69869.06398450297
12121704.0,10060475.309609078
11857712.0,10629980.459587354
1205190.0,10120104.638648713
1093176.0,1354734.9498913458
2757155.0,3691293.951545844
8729830.0,9489032.85795523
3157872.0,5105368.467835232
552947.0,335419.10729523597
4019904.0,2791108.941898262
15776068.0,14773507.580277422
5265795.0,8151317.301997702
10354.0,332370.22620244446
8690682.0,9751252.20311978
8836172.0,5524534.094147334
91980.0,84949.2335485251
9208206.0,7259315.464678409
15003366.0,13619295.831320543
1324890.0,1236238.0535709735
1428378.0,1776406.3673525222
1449420.0,4994786.216787973
10300920.0,7135128.741087383
13406033.0,19708687.654980958
116340.0,116708.9761115125
10681314.0,10718190.0
3578096.0,3462654.3388242084
3326051.0,2445292.218808441
1983366.0,1796966.3989599168
8153727.0,7444112.757046807
7077966.0,4085851.4471121076
8480430.0,8480430.0
2424997.0,4313710.929689376
9912084.0,8504889.244842676
3002431.5,3374363.922654716
13149141.0,7910429.255242356
5228202.0,4200789.581980112
2206470.0,7282295.972831149
3718309.0,2995635.226071492
6236765.0,3641029.9767164453
16699788.0,8561402.60978126
8894151.0,8067133.82132446
3055771.0,5964811.161999371
709896.0,3578800.219837299
2478837.0,1645900.4728675254
658846.0,6165400.823007575
12321120.0,2507490.5440539275
270144.0,1339742.6092617668
31165293.0,2136086.175004056
9018198.0,8491883.889243321
5789754.0,7395070.435349238
7125216.0,6354910.173701174
3999618.0,3902205.41343774
4364397.71,4095724.7042867546
113358.0,84370.00456999172
0.0,4213323.6904907925
22260.0,352926.19781894126
8598744.0,7544864.81685022
4222503.0,4515113.384855415
374178.0,837321.4472134007
9585324.0,11340750.367000185
14395668.0,11267596.807639498
3570862.0,3731327.6280378415
1834266.0,3481231.443665334
88612.0,52564.42287724328
174440.0,117621.22261750733
1783236.0,2149488.182925039
10473963.0,9533970.978015257
9898029.0,14396619.467196228
94741.0,454376.8621160184
8729154.0,8729154.0
8315729.0,7018828.278186467
2477622.0,1329535.8320738524
55373.0,96281.26386060084
12999420.0,6499710.0
15498.0,15946.468490371633
6169548.0,8840096.677790552
34705.0,64364.04624736479
2904135.0,4802469.897880369
69327.0,59033.0
6933483.0,6272350.608956073
145488.0,145488.0
36619794.0,36205855.39724343
61278.0,65462.17742552154
1852704.0,3485363.9645143286
7669410.0,9531032.834331807
5593295.0,6754167.383960111
4904130.0,5056351.445622035
6464934.0,7503342.930573843
7290150.0,10982535.752180986
6049932.0,6292919.599624787
1036933.0,1238931.7269062535
4326999.0,1116776.6332027894
4002002.0,2134688.446447371
4384086.0,4006081.393804197
2279634.0,2279634.0
1341845.0,1380598.9170043657
9784572.0,8360922.126163366
2770001.0,3275707.8865430136
3430232.0,2919407.202588088
4880285.0,5252643.752413954
5502462.0,8796682.546305366
101262.0,83121.93870728114
2657706.0,7143049.373426381
8987749.0,8263231.658434203
16587527.0,7041720.249885073
7277130.0,4867851.642210024
106218.0,105779.18060667011
1351056.0,4181411.659220259
509103.0,3398938.7682831273
9694562.0,10425610.494131356
5811708.0,5724563.381979393
2022006.0,4936848.0
3746576.0,2419650.2648401908
1921118.0,1921118.0
1115730.0,2210761.684389894
23021413.0,23585651.429024562
13583736.0,6718814.083561616
3292985.0,3485571.9261716465
3827728.0,3570827.8188893944
